text,title,href
 趣味编程三剑客：从Scratch迈向Python和C++ 1、Scratch、Python和C++对照学习，编程更轻松。 2、案例精彩、数量众多、涵盖面广。 3、案例选择考究，富于趣味性、知识性、故事性。 4、案例程序以简短居多，易于理解消化。 5、首创扑,1、Scratch、Python和C 对照学习，编程更轻松。 2、案例精彩、数量众多、涵盖面广。 3、案例选择考究，富于趣味性、知识性、故事性。,//product.dangdang.com/28974460.html
 Python网络爬虫技术 *深大数据专家张良均领衔畅销书作者团队 全部采用企业真实项目案例 提供源代 ,资深大数据专家张良均领衔畅销书作者团队，长江学者特聘教授张军倾力，全部采用企业真实项目案例，提供源代码等相关学习资源。,//product.dangdang.com/1410633336.html
 pandas数据预处理详解日系图书 python机器学习 chatgpt聊天机器人 深度学习 大数据处理 数据分析 人工 Pandas数据预处理详解：机器学习和数据分析中高效的预处理方法（日系图书+双色印刷）,Python是一款非常强大、易学易用的数据处理和数据分析工具，而大量第三方软件库的支持，更是使其成为人工智能时代非常重要的编程工具。pandas就是一款非常重要的基于NumPy的Python数据分析软件库，它提供了大量能快速便捷处理数据的函数和方法，提供了高效操作大型数据集的工具，通过pandas和Python，可以顺利完成数据科学、机器学习或日常工作中的几乎所有数据分析任务。本书就利用pandas，结合简单易懂的示例代码，对机器学习和数据科学领域数据预处理的知识和各种预处理方法进行了透彻、全面的讲解。学完本书，你会发现Python之所以在数据处理和分析领域如此强大，pandas是其重要的影响因素之一。 1.用浅显易懂的语言，全面介绍pandas的使用方法和应用技巧。 2.用简洁清晰的代码，结合日常工作中需要处理数据的实际场景，学习pandas的实际用法，掌握解决实,//product.dangdang.com/29316742.html
 Excel+Python：飞速搞定数据分析与处理 xlwings数据处理分析Python编程 Exc 官方正版 出版社直发,空,//product.dangdang.com/11132491194.html
 Python程序设计与应用 ,零基础快速学通Python编程,//product.dangdang.com/1775835545.html
 日系图书用Python编程和实践！区块链教科书 从零创建简单区块链程序 比特币 元宇宙 数字货币 新金融底层技术 p2p 一本新型的、能看懂的区块链、比特币入门书 从零基础到创建简单区块链程序 图解区块链技术,本书是日本著名的 FLOC区块链大学 编写的一本概括介绍性书籍，用Python示例解释了区块链机制和基础技术，介绍了区块链如何与Python协同工作。 本书用通俗易懂的语言、结合图示和代码，系统介绍了区块链技术的大框架，并将重点放在理解 框架 所必需的内容，可以让读者对区块链技术有一个整体认识并掌握区块链技术的基础知识，引领读者快速入门，并为后续深入学习区块链技术奠定基础。 本书以零基础读者为基础，引导读者一步步用Python创建出具备基础功能的区块链程序，加深对区块链技术的理解。 每章后都设置有课后练习题，引导读者积极思考，巩固所学内容，提高动手能力。 本书采用双色印刷，版式精美，学习不枯燥。 本书特色 以培养区块链工程师、介绍人力资源和提供职业支持而闻名的FLOC，和由该公司运营的FLOC区块链大学,//product.dangdang.com/29257456.html
 Python Qt GUI与数据可视化编程 PyQt5教程书籍 pyqt5快速开发实例教程 Python Qt5 GUI快速编程 示例丰富的Python GUI编程和数据可视化编程的实用指南,PyQt5是Qt 5 C 类库的Python绑定，使用PyQt5可以在Python 中开发专业的GUI 应用程序。本书介绍PyQt5开发Python GUI应用程序的编程方法，还介绍在GUI 程序中嵌入二维和三维数据可视化功能的编程方法，特别是将Matplotlib 嵌入GUI 界面的面向对象编程方法。 本书包含大量完整示例程序，使学习过程具有可跟随性和可操作性，适合具有Python编程基础，需要使用Python设计GUI应用程序，或在GUI应用程序中嵌入数据可视化功能的读者。 本书主要内容包括： ● 基于PyQt5的GUI应用程序的技术框架和工具软件的使用； ● GUI程序设计中常用界面组件和功能模块的使用； ● 使用PyQtChart、PyQtDataVisualization、Matplotlib在GUI程序中嵌入二维和三维数据可视化功能的编程方法。,//product.dangdang.com/27918134.html
 Python股票量化交易从入门到实践 股票炒股书籍趋势技术分析入门基础知识 量化投资金融大数据风控金 ,空,//product.dangdang.com/11485085611.html
 ROS 2机器人编程实战：基于现代C++和Python 3 从设计思想到应用技巧，从基础概念到工程实战，一线机器人工程师带你玩转ROS 2,《ROS 2机器人编程实战：基于现代C++和Python 3》融合了一线机器人工程师多年工作经验，精心选取的大量实例项目，手把手带领读者玩转ROS 2。循序渐进、由浅入深，书中配有二维码视频，使读者身临其境，迅速、深入地掌握各种经验和技巧。,//product.dangdang.com/29484848.html
 R与Python的数据分析核心技巧――能源化学数据挖掘及可视化实战 能源化学数据分析,从数据回归、建模、拟合、预测的角度探讨Python的一体化实战过程遵从 数据信息可视化,//product.dangdang.com/29589317.html
 Python核心编程(第3版) 团购优惠，咨询在线客服,空,//product.dangdang.com/1209421081.html
